word,total,astronomical,biological,cosmological,herbal,text only,unknown
cheeody,13,0,0,0,3,0,10
ytol,13,0,0,0,11,1,1
ytey,13,0,1,2,8,0,2
daim,13,0,0,2,4,0,7
dshor,13,0,1,0,8,3,1
okeal,13,0,0,1,2,2,8
cthedy,13,0,3,0,4,0,6
p,13,0,1,4,4,2,2
opar,13,0,1,5,2,1,4
chckhdy,13,0,5,0,4,2,2
shky,13,0,2,0,5,2,4
olkey,13,0,4,2,2,2,3
olshey,13,0,8,0,1,0,4
oteeody,13,2,1,1,0,0,9
sheeol,13,0,4,0,0,1,8
otedar,13,0,1,2,0,0,10
lcheey,13,0,3,0,0,1,9
olkal,13,0,6,0,0,2,5
oto,12,1,0,2,1,2,6
kair,12,0,2,0,2,1,7
cthaiin,12,0,0,0,11,1,0
yshey,12,1,2,0,0,3,6
cphy,12,1,0,0,9,1,1
chan,12,0,0,0,10,0,2
pchor,12,0,2,0,6,1,3
sam,12,1,1,3,3,0,4
qoteol,12,0,0,1,3,0,8
qodar,12,0,0,1,8,2,1
ytchey,12,0,0,3,7,1,1
cphol,12,1,1,0,5,1,4
oees,12,0,0,3,4,1,4
dcheey,12,1,0,2,6,0,3
chotchy,12,0,0,0,12,0,0
choiin,12,0,0,0,12,0,0
ry,12,0,4,0,4,0,4
ockhy,12,2,0,1,4,1,4
shocthy,12,1,0,0,7,0,4
j,12,1,1,2,5,0,3
chkain,12,0,3,0,3,0,6
chokeey,12,1,0,0,4,2,5
ypchedy,12,0,0,0,8,0,4
ls,12,1,3,0,3,1,4
sheos,12,0,0,3,4,0,5
oteor,12,0,0,0,1,3,8
keeody,12,1,0,0,2,1,8
shedal,12,0,7,0,1,1,3
ytam,12,0,1,2,4,3,2
f,12,0,0,4,2,5,1
arody,12,0,0,1,1,1,9
ykeeody,12,2,0,2,3,4,1
chkal,12,0,1,2,1,0,8
otees,12,1,0,3,1,0,7
shedain,12,0,0,0,2,0,10
tair,12,0,0,0,2,2,8
qotam,12,0,1,1,1,0,9
orol,12,0,6,1,2,0,3
